Country,COC,HA,RAT
Netherlands,0.15831627570751952,1529317.125,0.10352089381561036
Albania,0.05361719224853516,760886.375,0.07046675300045313
Austria,0.2460299960209961,2496317.25,0.09855718299466788
Bosnia and Herzegovina,0.14483691120214845,1428154.625,0.10141542706004152
Croatia,0.22413275120654297,2235904.5,0.10024254220452751
Czech Republic,0.3196774266958008,2974059.5,0.10748857805158263
Denmark,0.23847652708984374,2237074.75,0.10660194841046046
Hungary,0.40308453298925784,3997036.5,0.10084584741451769
Italy,0.5839802834176254,7147161.5,0.08170800161961157
Montenegro,0.0408057928671875,420247.40625,0.09709945203781375
Poland,1.406462234513672,12822243.0,0.10968925128884797
San Marino,0.0,3067.73046875,0.0
Serbia,0.3575777013286133,3375588.5,0.10593047740523268
Slovakia,0.18238429369384765,1703309.375,0.1070764338943697
Slovenia,0.04489600110229492,417104.46875,0.10763730543775173
North Macedonia,0.09585698869042969,929874.75,0.10308591419482
Vatican City,0.0,0.0,
Norway,0.03077768760564808,469756.5,0.06551838581402936
Sweden,0.23999885472584337,2284815.25,0.10504081444915224
Belarus,0.8294889424907227,7934114.5,0.10454713534707907
Bulgaria,0.33560710398291016,3510908.0,0.09558983145753468
Estonia,0.08467568930517579,818386.125,0.10346667266038483
Finland,0.10967460212643433,1772948.5,0.06186000446512368
Georgia,0.14516590415753175,2309120.75,0.06286631141205229
Latvia,0.1985925117578125,1936748.875,0.10253911300597117
Lithuania,0.29431314876538084,2782479.25,0.10577370838089119
Moldova,0.09028712226513672,1163685.75,0.07758720278660859
Romania,1.0247318351103478,10745946.0,0.09535985339125544
Ukraine,1.5316541224083404,28785010.0,0.053210129939449055
Afghanistan,0.2691989751566907,29147876.0,0.009235629215545268
Bahrain,0.0,2595.088623046875,0.0
India,3.663381763842938,38500908.0,0.09515052901721013
Iran,1.4667537948435003,63551328.0,0.02307982918694477
Kuwait,1.3816762756347656e-05,119012.875,0.00011609468938841832
Maldives,0.0,0.0,
Nepal,0.1575149211663869,1574347.0,0.10005095520008417
Oman,0.007045810194409758,1013192.1875,0.006954070788677255
Pakistan,0.10326779718437767,10922712.0,0.009454409965618216
Qatar,5.31473486328125e-06,48247.0,0.0001101567944800972
Saudi Arabia,0.007197023179839318,2102237.0,0.0034235070450378898
Somalia,0.6405005312805329,38432048.0,0.01666579234290436
Sri Lanka,0.1629389098088989,923105.125,0.17651175949098855
Tajikistan,0.01992753334245801,3739944.75,0.005328296184711822
Turkmenistan,0.08655221747620868,26969128.0,0.0032093072299634114
United Arab Emirates,0.0005977142987561225,384432.34375,0.0015547971144301577
Yemen,0.13580360493051816,16102864.0,0.008433506296179248
Armenia,0.05755400008935547,1179261.0,0.04880514160084618
Azerbaijan,0.14061429942752837,3343470.25,0.042056393182361464
Kazakhstan,0.8033774397478582,192353456.0,0.004176568783603546
Kyrgyzstan,0.14072461193047953,10177106.0,0.01382756669042059
Uzbekistan,0.14564425111229898,23076244.0,0.00631143660607415
Christmas Island,0.0,0.0,
Cocos Islands,0.0,0.0,
Indonesia,3.5516529284608613,18120740.0,0.19599933162005864
Timor-Leste,0.06635888944433593,381250.5,0.17405587519055302
Australia,2.7861120604901046,284471520.0,0.009793992946956886
Nauru,0.0,0.0,
New Caledonia,0.0,0.0,
Norfolk Island,0.0,0.0,
Papua New Guinea,0.15475585611388398,909633.125,0.1701299698313911
Solomon Islands,0.0,0.0,
Tuvalu,0.0,0.0,
Vanuatu,0.0,0.0,
Cambodia,0.24194110599163818,1812622.25,0.13347574542441934
Laos,0.1539870850186863,985445.125,0.1562614509039114
Malaysia,0.5536558759826355,2930473.25,0.1889305339957072
Myanmar,0.40543656043091203,2474232.25,0.16386358250358754
Singapore,0.0,1227.54052734375,0.0
Thailand,0.7038146168885215,4596501.5,0.1531196317217609
Vietnam,0.2945190821986084,2038835.5,0.1444545585941624
Bangladesh,0.1975504681685791,1058742.125,0.18658978754489353
Bhutan,0.024705284580508708,467952.875,0.05279438571781124
China,12.821486227809059,315685472.0,0.040614749062031774
Brunei Darussalam,0.001554797346862793,7607.37890625,0.20438016378879417
Philippines,0.5563635294257813,2701311.75,0.20596050397581148
South Korea,0.016072493971019744,157775.484375,0.10186940027272373
Mongolia,0.8097719369190249,86110728.0,0.009403844976424132
North Korea,0.07063662972723389,706857.9375,0.09993044709529612
Guam,0.0,0.0,
Japan,0.13634184893780518,1388251.125,0.0982112288493951
Marshall Islands,0.0,0.0,
Micronesia,0.0,0.0,
Northern Mariana Islands,0.0,0.0,
Palau,0.0,0.0,
Russian Federation,8.497374231479395,163856560.0,0.05185861482432803
Spain,0.9662586763579407,15317556.0,0.06308177860475528
Canarias,0.0,0.0,
